,appropriate_for,director,downloads,industry,posted_date,release_date,run_time,storyline,title,views,writer,is_good
15371,R,"Colin Strause, Greg Strause",24628.0,Hollywood / English,"10 Mar, 2014",Mar 14 2008,94.0,"Warring alien and predator races descend on a small town, where 
unsuspecting residents must band together for any chance of survival.",Aliens vs Predator - Requiem,76913.0,"Shane Salerno, Dan O'Bannon, Ronald Shusett",0
13797,R,Alejandro González Iñárritu,7462.0,Hollywood / English,"09 Jan, 2015",Nov 14 2014,119.0,"Riggan Thomas, once known quite well to movie theater goers as an iconic super hero called ""The Birdman"" had recently turned down a fourth installment of the franchise. Now washed up, he attempts to reinvent himself as a director by staging a new adaptation of a Raymond Carver short story called ""What We Talk About When We Talk About Love"". The events leading up to the Saturday night premiere prove to be one disaster after another as the original lead actor is injured while on set and Riggan scrambles to find a replacement, but the replacement proves to be exactly who he needs - a method actor who takes the job way too seriously. But Riggan has a hard time juggling between the set, his replacement actor, his equally washed up daughter, and a host of other disasters that prevent a proper staging of the play. Meanwhile, a New York Times critic who Riggan has to woo threatens to shut down production of the play before it even starts with a scathing review of the opening night performance...",Birdman,25712.0,"Alejandro González Iñárritu, Nicolás Giacobone, Alexander Dinelaris",1
11762,Not Rated,Rick Morales,3730.0,Anime / Kids,"28 Apr, 2016",May 03 2016,75.0,"Oooh Hollywood! The glitz, the glam...the Headless Horseman?! Join your 
favorite K-9 sleuth, Scooby-Doo, along with Shaggy and the Mystery Inc. 
gang as they find themselves in a tinsel-town twist! While on a VIP tour
 of the legendary Brickton Studios, Scooby and friends get a first-hand 
experience of the rumored hauntings when classic movie monsters drop in 
for a creepy casting call. There's only one way to solve this thriller 
and save the aging studio - it's Mystery Inc's movie magic time! Grab 
your Scooby Snacks and hop in the director's chair for this all-new 
LEGO® movie!",Lego Scooby-Doo!: Haunted Hollywood,22398.0,"Heath Corson, Duane Capizzi, James Krieg",0
9929,Not Rated,Doug Archibald,954.0,Hollywood / English,"14 Jun, 2017",Jun 09 2017,90.0,Krystal and her twin brother/roommate confront twenty-eight years of their codependency when they start dating the same guy.,I Love You Both,12098.0,"Doug Archibald, Kristin Archibald",0
15019,PG-13,J.C. Chandor,26818.0,Hollywood / English,"30 Jan, 2014",Nov 07 2013,106.0,"Deep into a solo voyage in the Indian Ocean, an unnamed man (Redford) wakes to find his 39-foot yacht taking on water after a collision with a shipping container left floating on the high seas. With his navigation equipment and radio disabled, the man sails unknowingly into the path of a violent storm. Despite his success in patching the breached hull, his mariner's intuition and a strength that belies his age, the man barely survives the tempest. Using only a sextant and nautical maps to chart his progress, he is forced to rely on ocean currents to carry him into a shipping lane in hopes of hailing a passing vessel. But with the sun unrelenting, sharks circling and his meager supplies dwindling, the ever-resourceful sailor soon finds himself staring his mortality in the face.",All Is Lost,88559.0,J.C. Chandor,0
17621,PG-13,Michael Knowles,1720.0,Hollywood / English,"31 May, 2012",May 30 2012,97.0,"A comedy/drama about 35-year-old Morris Bliss, who is clamped in the jaws of New York City inertia: he wants to travel but has no money; he needs a job but has no prospects; he still shares an apartment with his widowed father; and perhaps worst of all the premature death of his mother still lingers and has left him emotionally walled up. When he finds himself wrapped up in an awkward relationship with the sexually precocious, 18-year-old daughter of a former classmate, Morris quickly discovers his static life unraveling and opening up in ways that are long overdue.",The Trouble with Bliss,8057.0,"Michael Knowles, Douglas Light",0
1404,TV-14,Simone Stock,761.0,Hollywood / English,"15 Feb, 2023",Feb 11 2023,88.0,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,The Girl Who Escaped: The Kara Robinson Story,7466.0,Haley Harris,0
10029,R,Elegance Bratton,468.0,Hollywood / English,"17 Feb, 2023",Dec 02 2022,95.0,"A
 young, gay Black man, rejected by his mother and with few options for 
his future, decides to join the Marines, doing whatever it takes to 
succeed in a system that would cast him aside.",The Inspection,5842.0,Elegance Bratton,1
5764,Not Rated,Drew Mylrea,3072.0,Hollywood / English,"15 Feb, 2020",Feb 14 2020,93.0,"When the world's greatest spy meets the woman of his dreams, he abandons his adventurous existence and settles into the security of suburbia.",Spy Intervention,24415.0,"Mark Famiglietti, Lane Garrison",0
7390,PG-13,Aline Brosh McKenna,2718.0,Hollywood / English,"13 Feb, 2023",Feb 10 2023,109.0,"Two
 long-distance best friends change each other's lives when she decides 
to pursue a lifelong dream and he volunteers to keep an eye on her 
teenage son.",Your Place or Mine,14838.0,Aline Brosh McKenna,0
16828,PG-13,Matthew Vaughn,14614.0,Hollywood / English,"21 Mar, 2013",Aug 10 2007,127.0,"The passage from this world to the fantasy kingdom of Stormhold is through a breach in a wall beside an English village. In the 1800s, a boy becomes a man when he ventures through the breech in pursuit of a fallen star, to prove his love for the village beauty. The star is no lump of rock, it's a maiden, Yvaine. Tristan, the youth, is not the only one looking for her: three witches, led by Lamia, want her heart to make them young; and, the sons of the dead king of Stormhold want her because she holds a ruby that will give one of them title to the throne. Assisting Tristan are his mother, the victim of a spell, and a transvestite pirate of the skies. Will Tristan win his true love?",Stardust,48161.0,"Jane Goldman, Matthew Vaughn, Neil Gaiman",1
14530,PG-13,Don McKellar,1098.0,Hollywood / English,"19 Sep, 2014",May 30 2014,113.0,"The small harbor of Tickle Cove is in dire need of a doctor so that the town can land a contract to secure a factory which will save the town from financial ruin. Village resident Murray French (Gleeson) leads the search, and when he finds Dr. Paul Lewis (Kitsch) he employs - along with the whole town - tactics to seduce the doctor to stay permanently.",The Grand Seduction,8750.0,Ken Scott,1
13450,R,Steve Pink,11518.0,Hollywood / English,"03 Apr, 2015",Feb 20 2015,93.0,"When Lou finds himself in trouble, Nick and Jacob fire up the hot tub 
time machine in an attempt to get back to the past. But they 
inadvertently land in the future with Adam Jr. Now they have to alter 
the future in order to save the past - which is really the present.",Hot Tub Time Machine 2,35438.0,"Josh Heald, John Karnay",0
12326,Not Rated,Baljit Singh Deo,32924.0,Punjabi,"13 Jul, 2015",Jul 10 2015,101.0,"This is a story of a man who has recently moved to abroad in search of work. The man, soon after moving, gets madly in love with the girl of his dreams, and can go to any extent to prove it. On the other hand he is involved in other activities in the past, that come to haunt him in his present.",Hero Naam Yaad Rakhi,125309.0,"Manoj Jha, Manoj K. Jha",0
10036,TV-14,Jared Cohn,5590.0,Hollywood / English,"19 May, 2017",Dec 27 2016,90.0,"A couple hires a live-in nanny to watch the offspring while they work. At first, everything goes perfectly, but when an unsafe incident means the parents no longer want the nanny around, they find out this nanny is savvy at not being evicted from her live-in situation. So savvy, in fact, that she can make these parents' lives a true nightmare.",Evil Nanny,37220.0,Naomi L. Selfman,0
909,TV-MA,Paco León,1405.0,Hollywood / English,"01 Oct, 2022",Sep 30 2022,117.0,Modern day Dorothy (Wizard of Oz inspiration) faces the challenges of being a teenager nowdays.,Rainbow,10603.0,"Javier Gullón, Paco León",0
14760,R,Jason Stone,1875.0,Hollywood / English,"05 Aug, 2014",Aug 29 2014,108.0,"Detective Hazel Micallef hasn't had much to worry about in the sleepy 
town of Port Dundas until a string of gruesome murders in the 
surrounding countryside brings her face to face with a serial killer 
driven by a higher calling.",The Calling,11254.0,"Scott Abramovitch, Inger Ash Wolfe",0
16959,R,Wolfgang Petersen,9544.0,Hollywood / English,"25 Feb, 2013",Jul 25 1997,124.0,"The President of the USA goes to Moscow and gives a stirring speech outlining the USA's new ""Zero-tolerance"" policy with respect to terrorism. On the flight home, terrorists take over Air Force One (the President's official plane) and take the passengers (including his wife and daughter) hostage. The terrorists plan to execute one hostage every half-hour unless/until their demands are met. However, the President is a former Medal of Honor winner, so the terrorists may be in for a surprise...",Air Force One,23997.0,Andrew W. Marlowe,0
10139,TV-14,Jesse V. Johnson,5546.0,Hollywood / English,"22 Apr, 2017",Jan 01 1970,94.0,"A story set in Indochina in 1959, a land beyond rule and a time without mercy, and the birth of a legend.",Savage Dog,28216.0,Jesse V. Johnson,0
12977,R,Elegance Bratton,472.0,Hollywood / English,"17 Feb, 2023",Dec 02 2022,95.0,"A
 young, gay Black man, rejected by his mother and with few options for 
his future, decides to join the Marines, doing whatever it takes to 
succeed in a system that would cast him aside.",The Inspection,5928.0,Elegance Bratton,1
18526,R,Antonio Negret,1455.0,Hollywood / English,"30 May, 2011",May 28 2011,89.0,"Seth and Jonah are twins with a dangerous ability: telepathy. Things start to spiral out of their control as their classmates end up dying in twisted and bizarre ways. The police suspect them. But, jealousy begins to divide them and soon they can no longer trust each other. Leading up to a horrific battle against themselves.",Seconds Apart,5199.0,George Richards,0
13940,TV-14,Simone Stock,766.0,Hollywood / English,"15 Feb, 2023",Feb 11 2023,88.0,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,The Girl Who Escaped: The Kara Robinson Story,7794.0,Haley Harris,0
14679,Unrated,Shashank,23544.0,Tollywood,"21 Aug, 2014",Apr 11 2013,145.0,"A kind-hearted real estate businessman who is deeply in love with a 
girl, takes revenge on some guys, who disturbed in his lovely life.",Bachchan,66523.0,Shashank,0
16091,PG-13,Tim Burton,3842.0,Hollywood / English,"23 Sep, 2013",Jan 09 2004,100.0,"The story revolves around a dying father and his son, who is trying to learn  about his dad by piecing together the stories he has gathered over the years. The son winds up re-creating his father's elusive life in a series of legends and myths inspired by the few facts he knows. Through these tales, the son begins to understand his father's great feats and his great failings.",Big Fish,16768.0,"Daniel Wallace, John August",1
5228,R,Neil Jordan,284.0,Hollywood / English,"15 Feb, 2023",Feb 15 2023,110.0,"In late 1930's Bay City, a brooding, down on his luck detective is hired to find the ex-lover of a glamorous heiress.",Marlowe,3169.0,"William Monahan, John Banville, Raymond Chandler",0
12339,R,Terrence Malick,9098.0,Hollywood / English,"01 Jan, 2016",Mar 04 2016,118.0,"Once there was a young prince whose father, the king of the East, sent him down into Egypt to find a pearl. But when the prince arrived, the people poured him a cup. Drinking it, he forgot he was the son of a king, forgot about the pearl and fell into a deep sleep.",Knight of Cups,40452.0,Terrence Malick,0
17665,PG,Peter Howitt,36595.0,Hollywood / English,"15 May, 2012",Jul 18 2003,89.0,Rowan plays the eponymous lead character in a spoof spy thriller. During the course of the story we follow our hero as he attempts to single-handedly save the country from falling into the hands of a despot.,Johnny English,88530.0,"Neal Purvis, Robert Wade, William Davies",0
832,TV-14,Simone Stock,760.0,Hollywood / English,"15 Feb, 2023",Feb 11 2023,88.0,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,The Girl Who Escaped: The Kara Robinson Story,7452.0,Haley Harris,0
17094,PG-13,Siu-Tung Ching,36652.0,Dub / Dual Audio,"11 Jan, 2013",Jan 10 2013,102.0,Action director Ching Siu-Tung helms this fantasy film based on an old Chinese legend about an herbalist who falls in love with a thousand-year-old White Snake disguised as a woman. Jet Li stars as a sorcerer who discovers her true identity and battles to save the man's soul.,Bai she chuan shuo,74678.0,Tan Cheung,0
16724,R,James Foley,4011.0,Hollywood / English,"19 Apr, 2013",Apr 25 2003,97.0,"What Jake Vig doesn't know just might get him killed. A sharp and polished grifter, Jake has just swindled thousands of dollars from the unsuspecting Lionel Dolby with the help of his crew: Insideman Gordo, Shills Miles, and Big Al--and two corrupt LAPD officers, Lloyd Whitworth and Omar Manzano. But when both Lionel and Big Al turn up dead, it becomes clear that Lionel wasn't just any mark--as Jake soon learns, he was an accountant for eccentric crime boss Winston King. Never one to shy away from a challenge, Jake offers to repay The King by pulling off the biggest con of his career. The mark? Morgan Price, a banker with deep ties to organized crime. With so much riding on the outcome, Jake decides to bring in a brash, blonde pickpocket named Lily, who joins the crew in a complex scheme involving corporate loans, creative accounting, wire transfers and off-shore accounts. Jake and his crew will have to stay one step ahead of both the criminals and the cops to finally settle their ...",Confidence,14145.0,Doug Jung,0
11108,R,Rob Zombie,6739.0,Hollywood / English,"17 Sep, 2016",Sep 16 2016,102.0,"Five carnival workers are kidnapped and held hostage in an abandoned, 
Hell-like compound where they are forced to participate in a violent 
game, the goal of which is to survive twelve hours against a gang of 
sadistic clowns.",31,42242.0,Rob Zombie,0
11209,Not Rated,"Dan Berk, Robert Olsen",2226.0,Hollywood / English,"26 Aug, 2016",Dec 11 2015,75.0,A night out turns deadly when three girls break into a seemingly empty mansion.,Body,15176.0,"Dan Berk, Robert Olsen",0
3501,R,Carlos V. Gutierrez,790.0,Hollywood / English,"19 May, 2021",May 06 2021,90.0,"Maggie, a single mom who is struggling to make ends meet, is living with her teenage daughter in a rundown motel and facing impending eviction. She works at a storage facility where she and her daughter are caught in the middle of a shady deal gone wrong between her boss and two criminals resulting in the murder of her boss. The mom and daughter must retreat into the facility's maze of corridors as they are pursued by the two criminals, who are in search of stolen diamonds which are stashed somewhere inside of the facility. In order to survive and protect her daughter, Maggie must utilize her intimate knowledge of the facility to remain a step ahead of her dangerous perpetrators.",Locked In,8203.0,Carlos V. Gutierrez,0
5076,PG,Brad J. Silverman,173.0,Hollywood / English,"29 Jun, 2020",Jun 19 2020,100.0,"Spiraling into a mid-life crisis and feeling disconnected from his family, Ben Marcus, a reality-TV editor, thinks he can only be happy by fulfilling his dream of becoming a professional comedian. Ben posts his stand-up routines to YouTube, and the videos fall flat. Then his tweener son posts Ben miserably failing on a home improvement project, and much to his teenage daughter's dismay, it goes viral, launching Ben's social-media career as Selfie Dad. Although he quickly becomes an award-winning phenom, no amount of success brings Ben satisfaction. Through his friendship with a young coworker, Mickey, Ben finds the secret to a happy family . . . with his Bible in one hand, and his phone in the other.",Selfie Dad,2154.0,Brad J. Silverman,0
4016,R,Josie Rourke,4929.0,Hollywood / English,"28 Jan, 2019",Dec 21 2018,124.0,"This movie explores the turbulent life of the charismatic Mary Stuart (Saoirse Ronan). Queen of France at sixteen and widowed at eighteen, Mary defies pressure to remarry. Instead, she returns to her native Scotland to reclaim her rightful throne. But Scotland and England fall under the rule of the compelling Elizabeth I (Margot Robbie). Each young Queen beholds her ""sister"" in fear and fascination. Rivals in power and in love, and female regents in a masculine world, the two must decide how to play the game of marriage versus independence. Determined to rule as much  than a figurehead, Mary asserts her claim to the English throne, threatening Elizabeth's sovereignty. Betrayal, rebellion, and conspiracies within each court imperil both thrones - and change the course of history.",Mary Queen Of Scots,35546.0,"Beau Willimon, John Guy",0
14376,Not Rated,Trivikram Srinivas,41582.0,Tollywood,"22 Oct, 2014",Sep 27 2013,170.0,"Story:
Raghunandan (Boman Irani) is a multi-millionaire lives in Milan with his
 grandson Gowtham Nandan (Pawan Kalyan). Nadiya is Raghunandans daughter
 and as in many old movies, he distances his daughter for marrying 
against his wish and they both stay away from each other for decades, 
while Raghunandan stays in Milan, his daughter stays in India.
As age passes by,Raghunandangets nostalgic about his daughter and want 
to shed his ego, to convince his daughter and bring her back,",Atharintiki Daaredi (Daring Baaz),98532.0,Trivikram Srinivas,1
866,PG-13,Matt Peters,2074.0,Anime / Kids,"08 Oct, 2022",Oct 18 2022,79.0,"Jonathan
 Kent and reluctant young sidekick Damian Wayne are burdened with saving
 the world from impending doom. The two must join forces to rescue their
 fathers and save the planet by becoming the super heroes they were 
intended to be.",Batman and Superman: Battle of the Super Sons,14301.0,Jeremy Adams,0
5348,R,Kerry Harris,780.0,Hollywood / English,"06 May, 2020",Apr 27 2020,100.0,In order to stop his bad dreams a young boy steals a dreamcatcher from a mysterious neighbor forcing his family to rescue him from a nightmarish entity.,Dreamkatcher,7466.0,Kerry Harris,0
11388,TV-14,Simone Stock,765.0,Hollywood / English,"15 Feb, 2023",Feb 11 2023,88.0,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,The Girl Who Escaped: The Kara Robinson Story,7727.0,Haley Harris,0
